from,to,type
1000:0052,1000:008e,"CONDITIONAL_JUMP"
1000:0072,1000:0059,"CONDITIONAL_JUMP"
1000:0086,1010:0000,"UNCONDITIONAL_CALL"
1000:0094,1000:00a6,"CONDITIONAL_JUMP"
1000:00cd,1000:00d9,"CONDITIONAL_JUMP"
1000:00e0,1000:0100,"CONDITIONAL_JUMP"
1000:00e7,1000:00f2,"CONDITIONAL_JUMP"
1000:00ed,1010:0004,"UNCONDITIONAL_CALL"
1000:015b,1000:09a6,"UNCONDITIONAL_CALL"
1000:0168,1000:09c3,"UNCONDITIONAL_CALL"
1000:0178,1000:0185,"CONDITIONAL_JUMP"
1000:017e,1000:0930,"UNCONDITIONAL_CALL"
1000:0189,1000:01dc,"CONDITIONAL_JUMP"
1000:01a0,1000:0962,"UNCONDITIONAL_CALL"
1000:01b7,1000:01c3,"CONDITIONAL_JUMP"
1000:01cc,1010:0014,"UNCONDITIONAL_CALL"
1000:01fd,1000:0944,"UNCONDITIONAL_CALL"
1000:021e,1000:0226,"CONDITIONAL_JUMP"
1000:0224,1000:0229,"CONDITIONAL_JUMP"
1000:0226,1000:033f,"UNCONDITIONAL_JUMP"
1000:0237,1000:0253,"UNCONDITIONAL_JUMP"
1000:025d,1000:0262,"CONDITIONAL_JUMP"
1000:025f,1000:0336,"UNCONDITIONAL_JUMP"
1000:0262,1000:026c,"CONDITIONAL_JUMP"
1000:0267,1000:026c,"CONDITIONAL_JUMP"
1000:0269,1000:0336,"UNCONDITIONAL_JUMP"
1000:027b,1000:024b,"CONDITIONAL_JUMP"
1000:0287,1000:024b,"CONDITIONAL_JUMP"
1000:028d,1000:024b,"CONDITIONAL_JUMP"
1000:0296,1000:024b,"CONDITIONAL_JUMP"
1000:029f,1000:024b,"CONDITIONAL_JUMP"
1000:02b1,1000:0310,"CONDITIONAL_JUMP"
1000:02b3,1000:02ba,"CONDITIONAL_JUMP"
1000:02b8,1000:0310,"CONDITIONAL_JUMP"
1000:02ca,1000:0310,"CONDITIONAL_JUMP"
1000:02cc,1000:02d3,"CONDITIONAL_JUMP"
1000:02d1,1000:0310,"CONDITIONAL_JUMP"
1000:02fa,1000:0be0,"UNCONDITIONAL_CALL"
1000:030a,1000:0a4e,"UNCONDITIONAL_CALL"
1000:0321,1000:0326,"CONDITIONAL_JUMP"
1000:0323,1000:0239,"UNCONDITIONAL_JUMP"
1000:0333,1000:0241,"UNCONDITIONAL_JUMP"
1000:033c,1000:04d3,"UNCONDITIONAL_JUMP"
1000:0345,1000:0355,"CONDITIONAL_JUMP"
1000:034c,1000:0374,"CONDITIONAL_JUMP"
1000:0353,1000:0374,"CONDITIONAL_JUMP"
1000:0364,1010:002c,"UNCONDITIONAL_CALL"
1000:0371,1000:04da,"UNCONDITIONAL_JUMP"
1000:0382,1000:038c,"UNCONDITIONAL_JUMP"
1000:0396,1000:039b,"CONDITIONAL_JUMP"
1000:0398,1000:04cc,"UNCONDITIONAL_JUMP"
1000:039b,1000:03a5,"CONDITIONAL_JUMP"
1000:03a0,1000:03a5,"CONDITIONAL_JUMP"
1000:03a2,1000:04cc,"UNCONDITIONAL_JUMP"
1000:03a8,1000:03c7,"CONDITIONAL_JUMP"
1000:03aa,1000:03b1,"CONDITIONAL_JUMP"
1000:03af,1000:03c7,"CONDITIONAL_JUMP"
1000:03d1,1000:03fa,"CONDITIONAL_JUMP"
1000:03d3,1000:03da,"CONDITIONAL_JUMP"
1000:03d8,1000:03fa,"CONDITIONAL_JUMP"
1000:03e3,1000:03fa,"CONDITIONAL_JUMP"
1000:03e5,1000:03ec,"CONDITIONAL_JUMP"
1000:03ea,1000:03fa,"CONDITIONAL_JUMP"
1000:03f8,1000:0384,"UNCONDITIONAL_JUMP"
1000:0404,1000:0438,"CONDITIONAL_JUMP"
1000:0406,1000:040d,"CONDITIONAL_JUMP"
1000:040b,1000:0438,"CONDITIONAL_JUMP"
1000:041c,1000:0be0,"UNCONDITIONAL_CALL"
1000:0432,1000:0a4e,"UNCONDITIONAL_CALL"
1000:048d,1000:0497,"UNCONDITIONAL_JUMP"
1000:04a1,1000:04cc,"CONDITIONAL_JUMP"
1000:04a3,1000:04aa,"CONDITIONAL_JUMP"
1000:04a8,1000:04cc,"CONDITIONAL_JUMP"
1000:04ba,1000:048f,"CONDITIONAL_JUMP"
1000:04ca,1000:048f,"UNCONDITIONAL_JUMP"
1000:0512,1000:0517,"CONDITIONAL_JUMP"
1000:0514,1000:05d6,"UNCONDITIONAL_JUMP"
1000:051f,1000:0529,"UNCONDITIONAL_JUMP"
1000:0533,1000:0569,"CONDITIONAL_JUMP"
1000:0535,1000:053c,"CONDITIONAL_JUMP"
1000:053a,1000:0569,"CONDITIONAL_JUMP"
1000:054c,1000:0569,"CONDITIONAL_JUMP"
1000:0562,1010:002c,"UNCONDITIONAL_CALL"
1000:0567,1000:0521,"UNCONDITIONAL_JUMP"
1000:0573,1000:05a4,"CONDITIONAL_JUMP"
1000:0575,1000:057c,"CONDITIONAL_JUMP"
1000:057a,1000:05a4,"CONDITIONAL_JUMP"
1000:058b,1000:0be0,"UNCONDITIONAL_CALL"
1000:059e,1000:0a4e,"UNCONDITIONAL_CALL"
1000:05b9,1000:05ca,"CONDITIONAL_JUMP"
1000:05c8,1000:05d2,"UNCONDITIONAL_JUMP"
1000:05d3,1000:0124,"UNCONDITIONAL_CALL"
1000:0600,1010:0030,"UNCONDITIONAL_CALL"
1000:062c,1010:0020,"UNCONDITIONAL_CALL"
1000:0643,1010:0020,"UNCONDITIONAL_CALL"
1000:065b,1010:0018,"UNCONDITIONAL_CALL"
