entry,name,size_bytes,instruction_count,thunk
CODE:0000,thunk_FUN_CODE_37f9,3,1,1
CODE:0003,FUN_CODE_0003,8,8,0
CODE:000b,thunk_FUN_CODE_24dd,3,1,1
CODE:0013,thunk_FUN_CODE_2619,3,1,1
CODE:001b,FUN_CODE_001b,8,8,0
CODE:0023,thunk_FUN_CODE_26de,3,1,1
CODE:002b,FUN_CODE_002b,8,6,0
CODE:0033,FUN_CODE_0033,16,10,0
CODE:0043,FUN_CODE_0043,20,8,0
CODE:0057,FUN_CODE_0057,44,20,0
CODE:0091,FUN_CODE_0091,49,25,0
CODE:00c2,FUN_CODE_00c2,14,6,0
CODE:0124,FUN_CODE_0124,32,16,0
CODE:0239,FUN_CODE_0239,30,20,0
CODE:0257,FUN_CODE_0257,13,7,0
CODE:0264,FUN_CODE_0264,23,10,0
CODE:027b,FUN_CODE_027b,13,7,0
CODE:0288,FUN_CODE_0288,13,6,0
CODE:0295,FUN_CODE_0295,10,6,0
CODE:029f,FUN_CODE_029f,5,2,0
CODE:02a4,FUN_CODE_02a4,6,2,0
CODE:02aa,FUN_CODE_02aa,22,9,0
CODE:02c0,FUN_CODE_02c0,42,25,0
CODE:0308,FUN_CODE_0308,22,9,0
CODE:031e,FUN_CODE_031e,35,17,0
CODE:0355,FUN_CODE_0355,6,2,0
CODE:05fe,FUN_CODE_05fe,55,28,0
CODE:151d,FUN_CODE_151d,57,33,0
CODE:1556,FUN_CODE_1556,20,12,0
CODE:156a,FUN_CODE_156a,10,7,0
CODE:1574,FUN_CODE_1574,17,10,0
CODE:1585,FUN_CODE_1585,15,9,0
CODE:1594,FUN_CODE_1594,8,4,0
CODE:159c,FUN_CODE_159c,2,2,0
CODE:159e,FUN_CODE_159e,42,32,0
CODE:15c8,FUN_CODE_15c8,7,4,0
CODE:15cf,FUN_CODE_15cf,42,25,0
CODE:15f9,FUN_CODE_15f9,26,14,0
CODE:1613,FUN_CODE_1613,22,12,0
CODE:1bf0,FUN_CODE_1bf0,121,64,0
CODE:1f46,FUN_CODE_1f46,14,6,0
CODE:1f64,FUN_CODE_1f64,22,12,0
CODE:1f7a,FUN_CODE_1f7a,29,16,0
CODE:1f97,FUN_CODE_1f97,14,8,0
CODE:24dd,FUN_CODE_24dd,19,8,0
CODE:24f0,FUN_CODE_24f0,43,29,0
CODE:2570,FUN_CODE_2570,34,21,0
CODE:2596,FUN_CODE_2596,42,27,0
CODE:25c0,FUN_CODE_25c0,2,1,0
CODE:25c2,FUN_CODE_25c2,9,6,0
CODE:25cb,FUN_CODE_25cb,14,9,0
CODE:25d9,thunk_FUN_CODE_260e,2,1,1
CODE:25db,FUN_CODE_25db,10,6,0
CODE:25e5,FUN_CODE_25e5,19,11,0
CODE:25f8,FUN_CODE_25f8,18,8,0
CODE:260e,FUN_CODE_260e,11,6,0
CODE:2619,FUN_CODE_2619,28,17,0
CODE:2635,FUN_CODE_2635,14,8,0
CODE:2643,FUN_CODE_2643,14,7,0
CODE:2651,FUN_CODE_2651,2,1,0
