from_addr,to_addr,ref_type,source_type,is_primary
CODE:0000,CODE:37f9,UNCONDITIONAL_JUMP,DEFAULT,1
CODE:000b,CODE:24dd,UNCONDITIONAL_JUMP,DEFAULT,1
CODE:0013,CODE:2619,UNCONDITIONAL_JUMP,DEFAULT,1
CODE:0023,CODE:26de,UNCONDITIONAL_JUMP,DEFAULT,1
CODE:002f,EXTMEM:8a24,WRITE,ANALYSIS,1
CODE:0031,EXTMEM:8a25,WRITE,ANALYSIS,1
CODE:0045,CODE:40ab,UNCONDITIONAL_CALL,DEFAULT,1
CODE:004c,CODE:38bc,UNCONDITIONAL_CALL,DEFAULT,1
CODE:004f,CODE:05fe,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0052,BITS:08,WRITE,DEFAULT,1
CODE:0054,CODE:1f64,UNCONDITIONAL_CALL,DEFAULT,1
CODE:005a,EXTMEM:6f02,READ,ANALYSIS,1
CODE:005b,BITS:e2,DATA,DEFAULT,1
CODE:005b,CODE:0057,CONDITIONAL_JUMP,DEFAULT,1
CODE:005e,CODE:1bf0,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0061,CODE:1f64,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0064,CODE:38c1,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0067,CODE:1f64,UNCONDITIONAL_CALL,DEFAULT,1
CODE:006d,EXTMEM:8035,READ,ANALYSIS,1
CODE:0070,EXTMEM:8035,WRITE,ANALYSIS,1
CODE:0074,EXTMEM:7b00,WRITE,ANALYSIS,1
CODE:0077,CODE:38c6,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0080,CODE:38cb,UNCONDITIONAL_CALL,DEFAULT,1
CODE:00a0,EXTMEM:8a9e,WRITE,ANALYSIS,1
CODE:00a1,CODE:38d0,UNCONDITIONAL_CALL,DEFAULT,1
CODE:00a5,CODE:0091,CONDITIONAL_JUMP,DEFAULT,1
CODE:00b3,CODE:4682,UNCONDITIONAL_CALL,DEFAULT,1
CODE:00b7,CODE:00c2,CONDITIONAL_JUMP,DEFAULT,1
CODE:00bd,CODE:38d5,UNCONDITIONAL_CALL,DEFAULT,1
CODE:00c0,CODE:0124,UNCONDITIONAL_CALL,DEFAULT,1
CODE:00c4,CODE:38c6,UNCONDITIONAL_CALL,DEFAULT,1
CODE:00cd,CODE:38cb,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0127,EXTMEM:8035,READ,ANALYSIS,1
CODE:012a,EXTMEM:8035,WRITE,ANALYSIS,1
CODE:012e,EXTMEM:7b00,WRITE,ANALYSIS,1
CODE:0133,CODE:1f97,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0138,CODE:38c6,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0141,CODE:38cb,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0244,EXTMEM:81c0,READ,ANALYSIS,1
CODE:0247,EXTMEM:81c1,READ,ANALYSIS,1
CODE:024a,EXTMEM:81c2,READ,ANALYSIS,1
CODE:024d,EXTMEM:81c3,READ,ANALYSIS,1
CODE:0250,CODE:43e8,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0253,CODE:0239,CONDITIONAL_JUMP,DEFAULT,1
CODE:0255,BITS:08,WRITE,DEFAULT,1
CODE:0257,CODE:1f64,UNCONDITIONAL_CALL,DEFAULT,1
CODE:025d,EXTMEM:80f7,READ,ANALYSIS,1
CODE:025e,CODE:0264,CONDITIONAL_JUMP,DEFAULT,1
CODE:0261,EXTMEM:80f8,READ,ANALYSIS,1
CODE:0264,CODE:027b,CONDITIONAL_JUMP,DEFAULT,1
CODE:0269,EXTMEM:8a2a,READ,ANALYSIS,1
CODE:026a,CODE:027b,CONDITIONAL_JUMP,DEFAULT,1
CODE:026c,BITS:1f,READ,DEFAULT,1
CODE:026c,CODE:027b,CONDITIONAL_JUMP,DEFAULT,1
CODE:026f,BITS:08,READ,DEFAULT,1
CODE:026f,CODE:027b,CONDITIONAL_JUMP,DEFAULT,1
CODE:0276,CODE:1f7a,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0279,BITS:1f,WRITE,DEFAULT,1
CODE:027b,CODE:1f64,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0281,EXTMEM:80f7,READ,ANALYSIS,1
CODE:0282,CODE:0288,CONDITIONAL_JUMP,DEFAULT,1
CODE:0285,EXTMEM:80f8,READ,ANALYSIS,1
CODE:0288,CODE:0295,CONDITIONAL_JUMP,DEFAULT,1
CODE:028d,EXTMEM:8a2a,READ,ANALYSIS,1
CODE:028e,CODE:0295,CONDITIONAL_JUMP,DEFAULT,1
CODE:0290,BITS:08,READ,DEFAULT,1
CODE:0290,CODE:0295,CONDITIONAL_JUMP,DEFAULT,1
CODE:0293,BITS:08,WRITE,DEFAULT,1
CODE:0298,EXTMEM:8108,READ,ANALYSIS,1
CODE:0299,CODE:029f,CONDITIONAL_JUMP,DEFAULT,1
CODE:029c,EXTMEM:8109,READ,ANALYSIS,1
CODE:029f,CODE:02a4,CONDITIONAL_JUMP,DEFAULT,1
CODE:02a1,CODE:0355,UNCONDITIONAL_CALL,DEFAULT,1
CODE:02a4,BITS:08,READ,DEFAULT,1
CODE:02a4,CODE:02aa,CONDITIONAL_JUMP,DEFAULT,1
CODE:02a7,CODE:0355,UNCONDITIONAL_CALL,DEFAULT,1
CODE:02aa,CODE:2ced,UNCONDITIONAL_CALL,DEFAULT,1
CODE:02ae,CODE:0308,CONDITIONAL_JUMP,DEFAULT,1
CODE:02b0,BITS:08,READ,DEFAULT,1
CODE:02b0,CODE:0308,CONDITIONAL_JUMP,DEFAULT,1
CODE:02b3,CODE:1f64,UNCONDITIONAL_CALL,DEFAULT,1
CODE:02b9,EXTMEM:6f02,READ,ANALYSIS,1
CODE:02ba,BITS:e2,DATA,DEFAULT,1
CODE:02ba,CODE:02c0,CONDITIONAL_JUMP,DEFAULT,1
CODE:02bd,CODE:38ee,UNCONDITIONAL_CALL,DEFAULT,1
CODE:02cb,EXTMEM:81c0,READ,ANALYSIS,1
CODE:02ce,EXTMEM:81c1,READ,ANALYSIS,1
CODE:02d1,EXTMEM:81c2,READ,ANALYSIS,1
CODE:02d4,EXTMEM:81c3,READ,ANALYSIS,1
CODE:02d7,CODE:43e8,UNCONDITIONAL_CALL,DEFAULT,1
CODE:02da,CODE:02aa,CONDITIONAL_JUMP,DEFAULT,1
CODE:02de,CODE:38c6,UNCONDITIONAL_CALL,DEFAULT,1
CODE:02e7,CODE:38cb,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0300,CODE:58c2,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0308,CODE:2ba8,UNCONDITIONAL_CALL,DEFAULT,1
CODE:030c,CODE:0355,CONDITIONAL_JUMP,DEFAULT,1
CODE:030e,BITS:08,READ,DEFAULT,1
CODE:030e,CODE:0355,CONDITIONAL_JUMP,DEFAULT,1
CODE:0311,CODE:1f64,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0317,EXTMEM:6f02,READ,ANALYSIS,1
CODE:0318,BITS:e2,DATA,DEFAULT,1
CODE:0318,CODE:031e,CONDITIONAL_JUMP,DEFAULT,1
CODE:031b,CODE:38ee,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0321,EXTMEM:8035,READ,ANALYSIS,1
CODE:0324,EXTMEM:8035,WRITE,ANALYSIS,1
CODE:0328,EXTMEM:7b00,WRITE,ANALYSIS,1
CODE:032e,EXTMEM:8035,WRITE,ANALYSIS,1
CODE:0332,EXTMEM:7b00,WRITE,ANALYSIS,1
CODE:0335,CODE:38c6,UNCONDITIONAL_CALL,DEFAULT,1
CODE:033e,CODE:38cb,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0358,CODE:4456,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0602,EXTMEM:8a42,WRITE,ANALYSIS,1
CODE:0608,EXTMEM:7b03,WRITE,ANALYSIS,1
CODE:060c,EXTMEM:7d03,WRITE,ANALYSIS,1
CODE:0610,EXTMEM:7e03,WRITE,ANALYSIS,1
CODE:0616,EXTMEM:7703,WRITE,ANALYSIS,1
CODE:061c,EXTMEM:6f03,WRITE,ANALYSIS,1
CODE:0622,EXTMEM:8061,WRITE,ANALYSIS,1
CODE:0626,EXTMEM:7702,WRITE,ANALYSIS,1
CODE:062c,CODE:151d,UNCONDITIONAL_CALL,DEFAULT,1
CODE:0632,CODE:4456,UNCONDITIONAL_CALL,DEFAULT,1
CODE:1521,EXTMEM:8adc,WRITE,ANALYSIS,1
CODE:1524,EXTMEM:8add,WRITE,ANALYSIS,1
CODE:1528,EXTMEM:804f,READ,ANALYSIS,1
CODE:152b,EXTMEM:804f,WRITE,ANALYSIS,1
CODE:152f,EXTMEM:7d01,WRITE,ANALYSIS,1
CODE:1535,EXTMEM:804f,WRITE,ANALYSIS,1
CODE:1539,EXTMEM:7d01,WRITE,ANALYSIS,1
CODE:153d,EXTMEM:8061,READ,ANALYSIS,1
CODE:1540,EXTMEM:8061,WRITE,ANALYSIS,1
CODE:1544,EXTMEM:7702,WRITE,ANALYSIS,1
CODE:1546,CODE:1556,CONDITIONAL_JUMP,DEFAULT,1
CODE:1550,EXTMEM:8ade,WRITE,ANALYSIS,1
CODE:1553,EXTMEM:8adf,WRITE,ANALYSIS,1
CODE:1554,CODE:159c,UNCONDITIONAL_CALL,DEFAULT,1
CODE:155d,EXTMEM:8ade,WRITE,ANALYSIS,1
CODE:1560,EXTMEM:8adf,WRITE,ANALYSIS,1
CODE:1564,CODE:156a,CONDITIONAL_JUMP,DEFAULT,1
CODE:1567,CODE:1574,CONDITIONAL_JUMP,DEFAULT,1
CODE:156d,EXTMEM:8adc,READ,ANALYSIS,1
CODE:1570,EXTMEM:8adc,WRITE,ANALYSIS,1
CODE:1572,EXTMEM:8add,READ,ANALYSIS,1
CODE:1573,EXTMEM:8add,WRITE,ANALYSIS,1
CODE:157a,CODE:1585,CONDITIONAL_JUMP,DEFAULT,1
CODE:157f,EXTMEM:804f,READ,ANALYSIS,1
CODE:1582,EXTMEM:804f,WRITE,ANALYSIS,1
CODE:1583,CODE:1594,UNCONDITIONAL_CALL,DEFAULT,1
CODE:158b,CODE:1594,CONDITIONAL_JUMP,DEFAULT,1
CODE:1590,EXTMEM:804f,READ,ANALYSIS,1
CODE:1593,EXTMEM:804f,WRITE,ANALYSIS,1
CODE:1597,EXTMEM:804f,READ,ANALYSIS,1
CODE:159b,EXTMEM:7d01,WRITE,ANALYSIS,1
CODE:15a7,CODE:15f9,CONDITIONAL_JUMP,DEFAULT,1
CODE:15ac,EXTMEM:8adc,READ,ANALYSIS,1
