host_idx	uut_cf_idx	default_factor	read_cmd	write_cmd
0	0	1.0	CALF? 0	CALF 0 1.0E+00
1	1	1.0	CALF? 1	CALF 1 1.0E+00
2	2	1.0	CALF? 2	CALF 2 1.0E+00
3	3	1.0	CALF? 3	CALF 3 1.0E+00
4	4	1.0	CALF? 4	CALF 4 1.0E+00
5	5	1.0	CALF? 5	CALF 5 1.0E+00
6	6	1.0	CALF? 6	CALF 6 1.0E+00
7	7	1.0	CALF? 7	CALF 7 1.0E+00
8	8	1.0	CALF? 8	CALF 8 1.0E+00
9	9	1.0	CALF? 9	CALF 9 1.0E+00
10	10	1.0	CALF? 10	CALF 10 1.0E+00
11	11	1.0	CALF? 11	CALF 11 1.0E+00
12	12	1.0	CALF? 12	CALF 12 1.0E+00
13	13	1.0	CALF? 13	CALF 13 1.0E+00
14	14	1.0	CALF? 14	CALF 14 1.0E+00
15	15	1.0	CALF? 15	CALF 15 1.0E+00
16	16	1.0	CALF? 16	CALF 16 1.0E+00
17	17	1.0	CALF? 17	CALF 17 1.0E+00
18	18	0.0	CALF? 18	CALF 18 0.0E+00
19	19	0.0	CALF? 19	CALF 19 0.0E+00
20	20	0.0	CALF? 20	CALF 20 0.0E+00
21	21	0.0	CALF? 21	CALF 21 0.0E+00
22	22	0.0	CALF? 22	CALF 22 0.0E+00
23	23	0.0	CALF? 23	CALF 23 0.0E+00
24	24	0.0	CALF? 24	CALF 24 0.0E+00
25	25	0.0	CALF? 25	CALF 25 0.0E+00
26	26	1.0	CALF? 26	CALF 26 1.0E+00
27	27	1.0	CALF? 27	CALF 27 1.0E+00
28	28	1.0	CALF? 28	CALF 28 1.0E+00
29	29	1.0	CALF? 29	CALF 29 1.0E+00
30	30	1.0	CALF? 30	CALF 30 1.0E+00
31	31	1.0	CALF? 31	CALF 31 1.0E+00
32	32	1.0	CALF? 32	CALF 32 1.0E+00
33	33	0.0	CALF? 33	CALF 33 0.0E+00
34	34	0.0	CALF? 34	CALF 34 0.0E+00
35	35	0.0	CALF? 35	CALF 35 0.0E+00
36	36	0.0	CALF? 36	CALF 36 0.0E+00
37	37	0.0	CALF? 37	CALF 37 0.0E+00
38	38	0.0	CALF? 38	CALF 38 0.0E+00
39	39	0.0	CALF? 39	CALF 39 0.0E+00
40	50	0.0	CALF? 50	CALF 50 0.0E+00
41	64	1.0	CALF? 64	CALF 64 1.0E+00
42	65	1.0	CALF? 65	CALF 65 1.0E+00
43	66	1.0	CALF? 66	CALF 66 1.0E+00
44	67	1.0	CALF? 67	CALF 67 1.0E+00
45	68	1.0	CALF? 68	CALF 68 1.0E+00
46	69	1.0	CALF? 69	CALF 69 1.0E+00
47	70	1.0	CALF? 70	CALF 70 1.0E+00
48	71	0.0	CALF? 71	CALF 71 0.0E+00
49	72	0.0	CALF? 72	CALF 72 0.0E+00
50	73	0.0	CALF? 73	CALF 73 0.0E+00
51	74	0.0	CALF? 74	CALF 74 0.0E+00
52	75	0.0	CALF? 75	CALF 75 0.0E+00
53	76	0.0	CALF? 76	CALF 76 0.0E+00
54	77	0.0	CALF? 77	CALF 77 0.0E+00
55	128	1.0	CALF? 128	CALF 128 1.0E+00
56	129	1.0	CALF? 129	CALF 129 1.0E+00
57	130	0.0	CALF? 130	CALF 130 0.0E+00
58	131	0.0	CALF? 131	CALF 131 0.0E+00
59	132	0.0	CALF? 132	CALF 132 0.0E+00
