entry,name,namespace,body_addresses,parameter_count,return_type
1000:0010,"FUN_1000_0010","Global",23,0,"undefined"
1000:0027,"WEP","Global",23,0,"undefined"
1000:003e,"SETUPCDR","Global",126,0,"undefined"
1000:00bc,"FINISHCDR","Global",78,0,"undefined"
1000:010a,"OCCUR","Global",26,0,"undefined"
1000:0124,"CLRCDR","Global",26,0,"undefined"
1000:013e,"ALLOCALIAS16FRFAR32","Global",174,0,"undefined"
1000:01ec,"FREEALIAS16FRFAR32","Global",32,0,"undefined"
1000:020c,"POSTMESSAGETOAPP","Global",729,0,"undefined"
1000:04e5,"FUN_1000_04e5","Global",258,0,"undefined"
1000:05e7,"MYENABLECOMMNOTIFICATION","Global",41,0,"undefined"
1000:0610,"DIBPRINT","Global",119,0,"undefined"
1000:0687,"FUN_1000_0687","Global",233,0,"undefined"
1000:0770,"FUN_1000_0770","Global",184,0,"undefined"
1000:0828,"FUN_1000_0828","Global",32,0,"undefined"
1000:0848,"FUN_1000_0848","Global",48,0,"undefined"
1000:0878,"FUN_1000_0878","Global",48,0,"undefined"
1000:0930,"FUN_1000_0930","Global",20,0,"undefined"
1000:0944,"FUN_1000_0944","Global",24,0,"undefined"
1000:0962,"FUN_1000_0962","Global",34,0,"undefined"
1000:09a6,"FUN_1000_09a6","Global",29,0,"undefined"
1000:09c3,"FUN_1000_09c3","Global",31,0,"undefined"
1000:09e2,"FUN_1000_09e2","Global",63,0,"undefined"
1000:0a22,"FUN_1000_0a22","Global",44,0,"undefined"
1000:0a4e,"FUN_1000_0a4e","Global",147,0,"undefined"
1000:0af4,"FUN_1000_0af4","Global",43,0,"undefined"
1000:0b1f,"FUN_1000_0b1f","Global",39,0,"undefined"
1000:0b46,"FUN_1000_0b46","Global",154,0,"undefined"
1000:0be0,"FUN_1000_0be0","Global",50,0,"undefined"
1000:0c12,"entry","Global",50,0,"undefined"
1010:0000,"Ordinal_2","system",4,0,"undefined"
1010:0004,"Ordinal_3","system",4,0,"undefined"
1010:0008,"LOCALINIT","KERNEL",4,0,"undefined"
1010:000c,"OUTPUTDEBUGSTRING","KERNEL",4,0,"undefined"
1010:0010,"__WINFLAGS","KERNEL",4,0,"undefined"
1010:0014,"SETSELECTORLIMIT","KERNEL",4,0,"undefined"
1010:0018,"SETSTRETCHBLTMODE","GDI",4,0,"undefined"
1010:001c,"ESCAPE","GDI",4,0,"undefined"
1010:0020,"GETDEVICECAPS","GDI",4,0,"undefined"
1010:0024,"STRETCHDIBITS","GDI",4,0,"undefined"
1010:0028,"ISRECTEMPTY","USER",4,0,"undefined"
1010:002c,"POSTMESSAGE","USER",4,0,"undefined"
1010:0030,"ENABLECOMMNOTIFICATION","USER",4,0,"undefined"
