path	sha256	type	coverage_method	artifacts
.DS_Store	db91acf1439e3f0fc087798f6c4c3f5e40decb9fa1326cc9f9f44d32096c4808	Apple Desktop Services Store	support-doc-or-metadata	hashes + strings snapshot
DAQDRV	964db7f566adbbd254e797abccfdd71f9ed16131d2f0d41b55e84a5141a2c951	National Instruments, LabVIEW File, Code Resource File, data	labview-deep-extract	/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/DAQDRV/binwalk_scan.txt;/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/DAQDRV/binwalk_extract.txt;/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/DAQDRV/strings_offsets.txt;/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/DAQDRV/inventory.txt
Final Cal.zip	7585abaef2743a6581cc73213caf6d720b157b4f7715e65c518a01acfae7c160	Zip archive data, at least v2.0 to extract, compression method=deflate	archive-indexed	binwalk+strings+hash manifest
Final Cal/103FIN.EXE	38e23a70fb35ac9cb4beb9a528b1df46a3e2fcb7371af6cc564003923670df68	MS-DOS executable, NE for MS Windows 3.x (EXE)	ghidra-full-decompile	/Users/<user>/LC103/software_decompile_2026-02-24/full_dependency_decompile_2026-02-24/103FIN.EXE_functions_full.csv;/Users/<user>/LC103/software_decompile_2026-02-24/full_dependency_decompile_2026-02-24/103FIN.EXE_calls_full.csv;/Users/<user>/LC103/software_decompile_2026-02-24/full_dependency_decompile_2026-02-24/103FIN.EXE_decomp_full.txt
Final Cal/DAQDRV	964db7f566adbbd254e797abccfdd71f9ed16131d2f0d41b55e84a5141a2c951	National Instruments, LabVIEW File, Code Resource File, data	labview-deep-extract	/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/Final_Cal_DAQDRV/binwalk_scan.txt;/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/Final_Cal_DAQDRV/binwalk_extract.txt;/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/Final_Cal_DAQDRV/strings_offsets.txt;/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/Final_Cal_DAQDRV/inventory.txt
Final Cal/GPIBDRV	22b2ba7a2348a247239e6784019d39f4662908f06f24ecca5a87ab62e61cf68c	National Instruments, LabVIEW File, Code Resource File, data	labview-deep-extract	/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/Final_Cal_GPIBDRV/binwalk_scan.txt;/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/Final_Cal_GPIBDRV/binwalk_extract.txt;/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/Final_Cal_GPIBDRV/strings_offsets.txt;/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/Final_Cal_GPIBDRV/inventory.txt
Final Cal/LVDEVICE.DLL	ca2c2df38cf57fe998e69e9a9a3b5c77976e61ed469de4f461c57310261e86d4	MS-DOS executable, NE for MS Windows 3.x (DLL or font)	ghidra-full-decompile	/Users/<user>/LC103/software_decompile_2026-02-24/full_dependency_decompile_2026-02-24/LVDEVICE.DLL_functions_full.csv;/Users/<user>/LC103/software_decompile_2026-02-24/full_dependency_decompile_2026-02-24/LVDEVICE.DLL_calls_full.csv;/Users/<user>/LC103/software_decompile_2026-02-24/full_dependency_decompile_2026-02-24/LVDEVICE.DLL_decomp_full.txt
Final Cal/P071_03.CAL	75de7a0af35b07dd5d973731b6ad40964845361d56c6a3c3a83f9108f58e443d	ASCII text, with CRLF line terminators	config-or-cal-data	text content + hashes + exhaustive strings
Final Cal/P072_1.cal	5dd41bdc62fca676a491ee89a6f217333c07c04be87578eadea71987e1439f44	ASCII text, with CRLF line terminators	config-or-cal-data	text content + hashes + exhaustive strings
Final Cal/SERPDRV	fd1ea70ec1b0028a6f23b706283e6e8bb475680277352e576ec74bcd3a0af9fa	National Instruments, LabVIEW File, Code Resource File, data	labview-deep-extract	/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/Final_Cal_SERPDRV/binwalk_scan.txt;/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/Final_Cal_SERPDRV/binwalk_extract.txt;/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/Final_Cal_SERPDRV/strings_offsets.txt;/Users/<user>/LC103/software_decompile_2026-02-24/binwalk_all_labview_2026-02-24/Final_Cal_SERPDRV/inventory.txt
Final Cal/VERSION.DAT	d9da122921dfe16dbd180bf136a4b12eb475ceda4e0d3a61bd309d940f91849b	ASCII text, with CRLF line terminators	config-or-cal-data	text content + hashes + exhaustive strings
Final Cal/nidaq.dll	b2674dcdbdfa067f3c6dcac6426aab13419a23a71109a5b2d06228a5e6d2018a	PE32 executable (DLL) (GUI) Intel 80386, for MS Windows	ghidra-full-decompile	/Users/<user>/LC103/software_decompile_2026-02-24/full_dependency_decompile_2026-02-24/nidaq.dll_functions_full.csv;/Users/<user>/LC103/software_decompile_2026-02-24/full_dependency_decompile_2026-02-24/nidaq.dll_calls_full.csv;/Users/<user>/LC103/software_decompile_2026-02-24/full_dependency_decompile_2026-02-24/nidaq.dll_decomp_full.txt
