entry,name,namespace,body_addresses,parameter_count,return_type
21001000,"FUN_21001000","Global",214,0,"undefined"
21001120,"FUN_21001120","Global",444,0,"undefined"
21001310,"FUN_21001310","Global",5,0,"undefined"
21001320,"FUN_21001320","Global",386,0,"undefined"
21001580,"FUN_21001580","Global",422,0,"undefined"
21001730,"FUN_21001730","Global",86,0,"undefined"
21001790,"FUN_21001790","Global",108,0,"undefined"
21001820,"FUN_21001820","Global",265,0,"undefined"
21001930,"FUN_21001930","Global",481,0,"undefined"
21001b20,"FUN_21001b20","Global",450,0,"undefined"
21001cf0,"FUN_21001cf0","Global",907,0,"undefined"
21002080,"FUN_21002080","Global",790,0,"undefined"
210023a0,"FUN_210023a0","Global",89,0,"undefined"
21002400,"FUN_21002400","Global",6,0,"undefined"
21002410,"FUN_21002410","Global",29,0,"undefined"
21002430,"FUN_21002430","Global",236,0,"undefined"
21002520,"FUN_21002520","Global",182,0,"undefined"
210025e0,"FUN_210025e0","Global",69,0,"undefined"
21002630,"FUN_21002630","Global",65,0,"undefined"
21002680,"FUN_21002680","Global",65,0,"undefined"
210026d0,"FUN_210026d0","Global",65,0,"undefined"
21002720,"FUN_21002720","Global",65,0,"undefined"
21002770,"FUN_21002770","Global",65,0,"undefined"
210027c0,"FUN_210027c0","Global",65,0,"undefined"
21002810,"FUN_21002810","Global",88,0,"undefined"
21002870,"FUN_21002870","Global",88,0,"undefined"
210028d0,"FUN_210028d0","Global",88,0,"undefined"
21002930,"FUN_21002930","Global",92,0,"undefined"
21002990,"FUN_21002990","Global",90,0,"undefined"
210029f0,"FUN_210029f0","Global",68,0,"undefined"
21002a40,"FUN_21002a40","Global",86,0,"undefined"
21002aa0,"FUN_21002aa0","Global",62,0,"undefined"
21002ae0,"FUN_21002ae0","Global",68,0,"undefined"
21002b30,"FUN_21002b30","Global",74,0,"undefined"
21002b80,"FUN_21002b80","Global",92,0,"undefined"
21002be0,"FUN_21002be0","Global",74,0,"undefined"
21002c30,"FUN_21002c30","Global",68,0,"undefined"
21002c80,"FUN_21002c80","Global",68,0,"undefined"
21002cd0,"FUN_21002cd0","Global",74,0,"undefined"
21002d20,"FUN_21002d20","Global",74,0,"undefined"
21002d70,"FUN_21002d70","Global",74,0,"undefined"
21002dc0,"FUN_21002dc0","Global",80,0,"undefined"
21002e10,"FUN_21002e10","Global",74,0,"undefined"
21002e60,"FUN_21002e60","Global",74,0,"undefined"
21002eb0,"FUN_21002eb0","Global",80,0,"undefined"
21002f00,"FUN_21002f00","Global",80,0,"undefined"
21002f50,"FUN_21002f50","Global",86,0,"undefined"
21002fb0,"FUN_21002fb0","Global",98,0,"undefined"
21003020,"FUN_21003020","Global",86,0,"undefined"
21003080,"FUN_21003080","Global",92,0,"undefined"
210030e0,"FUN_210030e0","Global",92,0,"undefined"
21003140,"FUN_21003140","Global",80,0,"undefined"
21003190,"FUN_21003190","Global",74,0,"undefined"
210031e0,"FUN_210031e0","Global",74,0,"undefined"
21003230,"FUN_21003230","Global",74,0,"undefined"
21003280,"FUN_21003280","Global",83,0,"undefined"
210032e0,"FUN_210032e0","Global",83,0,"undefined"
21003340,"FUN_21003340","Global",83,0,"undefined"
210033a0,"FUN_210033a0","Global",83,0,"undefined"
21003400,"FUN_21003400","Global",86,0,"undefined"
21003460,"FUN_21003460","Global",86,0,"undefined"
210034c0,"FUN_210034c0","Global",86,0,"undefined"
21003520,"FUN_21003520","Global",86,0,"undefined"
21003580,"FUN_21003580","Global",86,0,"undefined"
210035e0,"FUN_210035e0","Global",86,0,"undefined"
21003640,"FUN_21003640","Global",86,0,"undefined"
210036a0,"FUN_210036a0","Global",68,0,"undefined"
210036f0,"FUN_210036f0","Global",68,0,"undefined"
21003740,"FUN_21003740","Global",68,0,"undefined"
21003790,"FUN_21003790","Global",68,0,"undefined"
210037e0,"FUN_210037e0","Global",92,0,"undefined"
21003840,"FUN_21003840","Global",71,0,"undefined"
21003890,"FUN_21003890","Global",80,0,"undefined"
210038e0,"FUN_210038e0","Global",65,0,"undefined"
21003930,"FUN_21003930","Global",71,0,"undefined"
21003980,"FUN_21003980","Global",80,0,"undefined"
210039d0,"FUN_210039d0","Global",68,0,"undefined"
21003a20,"FUN_21003a20","Global",71,0,"undefined"
21003a70,"FUN_21003a70","Global",65,0,"undefined"
21003ac0,"FUN_21003ac0","Global",65,0,"undefined"
21003b10,"FUN_21003b10","Global",65,0,"undefined"
21003b60,"FUN_21003b60","Global",65,0,"undefined"
21003bb0,"FUN_21003bb0","Global",65,0,"undefined"
21003c00,"FUN_21003c00","Global",65,0,"undefined"
21003c50,"FUN_21003c50","Global",62,0,"undefined"
21003c90,"FUN_21003c90","Global",62,0,"undefined"
21003cd0,"FUN_21003cd0","Global",83,0,"undefined"
21003d30,"FUN_21003d30","Global",83,0,"undefined"
21003d90,"getDeviceHandle","daqDevice",4,1,"ulong"
21003da0,"getBusObject","daqDevice",4,1,"iBus *"
21003db0,"isSCXICommunicator","daqDevice",4,1,"ulong"
21003dc0,"getSCXIChassisIDs","daqDevice",23,3,"void"
21003de0,"daqDevice","daqDevice",78,2,"undefined"
21003e30,"operator=","daqDevice",72,2,"daqDevice *"
21003e80,"FUN_21003e80","Global",100,0,"undefined"
21003ef0,"FUN_21003ef0","Global",45,0,"undefined"
21003f20,"FUN_21003f20","Global",41,0,"undefined"
21003f50,"FUN_21003f50","Global",43,0,"undefined"
21003f80,"FUN_21003f80","Global",49,0,"undefined"
21003fc0,"FUN_21003fc0","Global",41,0,"undefined"
21003ff0,"FUN_21003ff0","Global",141,0,"undefined"
21004080,"FUN_21004080","Global",153,0,"undefined"
21004120,"FUN_21004120","Global",145,0,"undefined"
210041c0,"FUN_210041c0","Global",41,0,"undefined"
210041f0,"FUN_210041f0","Global",61,0,"undefined"
21004230,"FUN_21004230","Global",53,0,"undefined"
21004270,"FUN_21004270","Global",53,0,"undefined"
210042b0,"FUN_210042b0","Global",73,0,"undefined"
21004300,"FUN_21004300","Global",37,0,"undefined"
21004330,"FUN_21004330","Global",73,0,"undefined"
21004380,"FUN_21004380","Global",105,0,"undefined"
210043f0,"FUN_210043f0","Global",77,0,"undefined"
21004440,"FUN_21004440","Global",57,0,"undefined"
21004480,"FUN_21004480","Global",93,0,"undefined"
210044e0,"FUN_210044e0","Global",57,0,"undefined"
21004520,"FUN_21004520","Global",89,0,"undefined"
21004580,"FUN_21004580","Global",77,0,"undefined"
210045d0,"FUN_210045d0","Global",69,0,"undefined"
21004620,"FUN_21004620","Global",41,0,"undefined"
21004650,"FUN_21004650","Global",49,0,"undefined"
21004690,"FUN_21004690","Global",45,0,"undefined"
210046c0,"FUN_210046c0","Global",49,0,"undefined"
21004700,"FUN_21004700","Global",57,0,"undefined"
21004740,"FUN_21004740","Global",64,0,"undefined"
21004780,"FUN_21004780","Global",64,0,"undefined"
210047c0,"FUN_210047c0","Global",52,0,"undefined"
21004800,"FUN_21004800","Global",76,0,"undefined"
21004850,"FUN_21004850","Global",60,0,"undefined"
21004890,"FUN_21004890","Global",48,0,"undefined"
210048c0,"FUN_210048c0","Global",48,0,"undefined"
210048f0,"FUN_210048f0","Global",48,0,"undefined"
21004920,"FUN_21004920","Global",52,0,"undefined"
21004960,"FUN_21004960","Global",48,0,"undefined"
21004990,"FUN_21004990","Global",40,0,"undefined"
210049c0,"FUN_210049c0","Global",76,0,"undefined"
21004a10,"FUN_21004a10","Global",56,0,"undefined"
21004a50,"FUN_21004a50","Global",48,0,"undefined"
21004a80,"FUN_21004a80","Global",48,0,"undefined"
21004ab0,"FUN_21004ab0","Global",52,0,"undefined"
21004af0,"FUN_21004af0","Global",68,0,"undefined"
21004b40,"FUN_21004b40","Global",68,0,"undefined"
21004b90,"FUN_21004b90","Global",64,0,"undefined"
21004bd0,"FUN_21004bd0","Global",64,0,"undefined"
21004c10,"FUN_21004c10","Global",88,0,"undefined"
21004c70,"FUN_21004c70","Global",48,0,"undefined"
21004ca0,"FUN_21004ca0","Global",52,0,"undefined"
21004ce0,"FUN_21004ce0","Global",80,0,"undefined"
21004d30,"FUN_21004d30","Global",76,0,"undefined"
21004d80,"FUN_21004d80","Global",44,0,"undefined"
21004db0,"FUN_21004db0","Global",56,0,"undefined"
21004df0,"FUN_21004df0","Global",48,0,"undefined"
21004e20,"FUN_21004e20","Global",48,0,"undefined"
21004e50,"FUN_21004e50","Global",48,0,"undefined"
21004e80,"FUN_21004e80","Global",48,0,"undefined"
21004eb0,"FUN_21004eb0","Global",80,0,"undefined"
21004f00,"FUN_21004f00","Global",72,0,"undefined"
21004f50,"FUN_21004f50","Global",60,0,"undefined"
21004f90,"FUN_21004f90","Global",92,0,"undefined"
21004ff0,"FUN_21004ff0","Global",44,0,"undefined"
21005020,"FUN_21005020","Global",80,0,"undefined"
21005070,"FUN_21005070","Global",48,0,"undefined"
210050a0,"FUN_210050a0","Global",112,0,"undefined"
21005110,"FUN_21005110","Global",52,0,"undefined"
21005150,"FUN_21005150","Global",84,0,"undefined"
210051b0,"FUN_210051b0","Global",96,0,"undefined"
21005210,"FUN_21005210","Global",44,0,"undefined"
21005240,"FUN_21005240","Global",40,0,"undefined"
21005270,"FUN_21005270","Global",64,0,"undefined"
210052b0,"FUN_210052b0","Global",52,0,"undefined"
210052f0,"FUN_210052f0","Global",68,0,"undefined"
21005340,"FUN_21005340","Global",48,0,"undefined"
