category	canonical	first_source	first_line	occurrences	sources
adjustments	!!" Failed Calibration. Adjusted >10%R	Source_LV5_1_103f_cal.llb.strings.txt	67217	1	Source_LV5_1_103f_cal.llb.strings.txt
adjustments	( Failed Calibration. Gain Adjustment>10%	Source_LV5_1_103f_cal.llb.strings.txt	74124	2	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
adjustments	( Failed Calibration. Gain Adjustment>10%U	Final_Cal_103FIN.EXE.strings.txt	85766	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
adjustments	0 Failed Calibration. Offset Adjustment too high.W	Final_Cal_103FIN.EXE.strings.txt	85817	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
adjustments	000 Failed Calibration. Offset Adjustment too high.W	Source_LV5_1_103f_cal.llb.strings.txt	74388	1	Source_LV5_1_103f_cal.llb.strings.txt
adjustments	>>>Adjust R1144 for the number	Final_Cal_103FIN.EXE.strings.txt	67443	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
adjustments	>Adjust R1144 for the number	Final_Cal_103FIN.EXE.strings.txt	67542	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
adjustments	@0@i0 Failed Calibration. Offset Adjustment too high.	Source_LV5_1_103f_cal.llb.strings.txt	74130	2	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
adjustments	and the '-' lead to TP1020. Adjust	Final_Cal_103FIN.EXE.strings.txt	66330	7	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
adjustments	Communication Error.0 Failed Calibration. Offset Adjustment too high.( Failed Calibration. Gain Adjustment>10%	Final_Cal_103FIN.EXE.strings.txt	85935	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
adjustments	Failed Calibration. Adjusted >10%	Source_LV5_1_103f_cal.llb.strings.txt	67036	2	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
adjustments	Failed Calibration. Adjusted >10%R	Final_Cal_103FIN.EXE.strings.txt	80166	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
adjustments	Now adjust R1005 for the number	Final_Cal_103FIN.EXE.strings.txt	67545	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
adjustments	ow adjust R1005 for the number	Final_Cal_103FIN.EXE.strings.txt	67449	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
connections	++,Make sure the red UUT lead is not connected.RD	Source_LV5_1_103f_cal.llb.strings.txt	48779	1	Source_LV5_1_103f_cal.llb.strings.txt
connections	++,Make sure the red UUT lead is not connected.W	Source_LV5_1_103f_cal.llb.strings.txt	48800	1	Source_LV5_1_103f_cal.llb.strings.txt
connections	,,-Make sure the UUT leads are shorted together.W	Final_Cal_103FIN.EXE.strings.txt	50201	3	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt
connections	,Make sure the red UUT lead is not connected.	Final_Cal_103FIN.EXE.strings.txt	51394	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	,Make sure the red UUT lead is not connected.RD	Final_Cal_103FIN.EXE.strings.txt	51323	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
connections	,Make sure the red UUT lead is not connected.W	Final_Cal_103FIN.EXE.strings.txt	51343	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
connections	/A TestfConnect the UUT and/or DVM leads to	Final_Cal_103FIN.EXE.strings.txt	63007	4	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	333Short the UUT leads to the	Final_Cal_103FIN.EXE.strings.txt	53841	20	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt|Source_lv8_103f_cal.llb.strings.txt
connections	3Short the UUT leads to the	Final_Cal_103FIN.EXE.strings.txt	53971	14	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt|Source_lv8_103f_cal.llb.strings.txt
connections	6BNow connect the red lead to the	Final_Cal_103FIN.EXE.strings.txt	53968	2	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt
connections	6FMELDKCJBI@GAHBNow connect the red lead to the	Source_LV3_1_103f_cal.llb.strings.txt	77382	4	Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt|Source_lv8_103f_cal.llb.strings.txt
connections	77GNow connect the red lead to the	Source_LV5_1_103f_cal.llb.strings.txt	45437	2	Source_LV5_1_103f_cal.llb.strings.txt
connections	99HConnect the black UUT lead to the	Source_LV5_1_103f_cal.llb.strings.txt	45435	2	Source_LV5_1_103f_cal.llb.strings.txt
connections	:-Make sure the UUT leads are shorted together.	Source_LV5_1_103f_cal.llb.strings.txt	50302	2	Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt
connections	===Short the UUT leads to the	Final_Cal_103FIN.EXE.strings.txt	53815	38	Final_Cal_103FIN.EXE.strings.txt|Source_LV3_1_103f_cal.llb.strings.txt|Source_LV5_1_103f_cal.llb.strings.txt|Source_LV6_103f_cal.llb.strings.txt|Source_lv8_103f_cal.llb.strings.txt
