Category	Artifact	Signal	Evidence	Snippet
Library	DAQDRV	Runs board init and LoadLibrary logging before handing NI-DAQ over to the wizard.	strings/DAQDRV.strings.txt:7	DAQDRV: 387 control reg is 0x%x before calling LoadLibrary
Data	Final Cal.zip	Archive listing starts with DAQDRV, so the package bundles the core driver payload.	strings/Final_Cal.zip.strings.txt:1	DAQDRV
Executable	Final Cal/103FIN.EXE	Emits lvdevice.dll load errors, showing the UI depends on that LabVIEW runtime bridge.	strings/Final_Cal_103FIN.EXE.strings.txt:11507	BCould not load lvdevice.dll.  It should be in LabVIEW's directory.
Library	Final Cal/DAQDRV	The forensic logs repeat the same control-register messaging, reaffirming the driver that manipulates DAQ slots.	strings/Final_Cal_DAQDRV.strings.txt:7	DAQDRV: 387 control reg is 0x%x before calling LoadLibrary
Library	Final Cal/GPIBDRV	Strings mention GPIB.DLL, showing the driver handles the GPIB/serial transport the legacy flow relies on.	strings/Final_Cal_GPIBDRV.strings.txt:57	GPIB.DLL
Library	Final Cal/LVDEVICE.DLL	Exports COM/notification helpers (MYENABLECOMMNOTIFICATION) that let the wizard react to the RS-232 channel.	strings/Final_Cal_LVDEVICE.DLL.strings.txt:13	MYENABLECOMMNOTIFICATION
Data	Final Cal/P071_03.CAL	Lists the capacitor/inductor high/low points that drive capacitor calibration steps.	strings/Final_Cal_P071_03.CAL.strings.txt:1	201.1E-12
Data	Final Cal/P072_1.cal	Describes seven high/low range pairs, so the wizard knows the data sets for the range loops.	strings/Final_Cal_P072_1.cal.strings.txt:15	There are 7 cal ranges.  The values listed above are grouped in two's; the first one
Library	Final Cal/SERPDRV	Mentions SerpWatchDogFlag, so power/EMI watchdog services are part of behavior control.	strings/Final_Cal_SERPDRV.strings.txt:48	SerpWatchDogFlag
Config	Final Cal/VERSION.DAT	Hard-coded legacy revision (VER1.50) anchors workflow assertions about the calibration release.	strings/Final_Cal_VERSION.DAT.strings.txt:1	LAST KNOWN LC103 SOFTWARE REV. IS:  VER1.50
Library	Final Cal/nidaq.dll	Library lists exports such as UpdateRemoteNIDAQ and MapGlobalIDToGlobal, showing direct tie into NI-DAQ configuration.	strings/Final_Cal_nidaq.dll.strings.txt:12175	nidaq32.dll
Library	GPIBDRV	Standalone GPIBDRV copy has the same GPIB.DLL pointer, confirming it supplies the bus-level code used inside the wizard.	strings/GPIBDRV.strings.txt:57	GPIB.DLL
Config	LC103 Final Cal/LC103 Cal Data.ini	Config file enumerates ranges (C Range0–L Range6) and their actual values, so the legacy calibration limits come from here.	strings/LC103_Final_Cal_LC103_Cal_Data.ini.strings.txt:1	[LC103 SW]
Config	LC103 Final Cal/LC103 Final Cal.aliases	Sets the 'My Computer' alias to localhost so the VI server binds to the local machine for automation.	strings/LC103_Final_Cal_LC103_Final_Cal.aliases.strings.txt:1	[My Computer]
Config	LC103 Final Cal/LC103 Final Cal.ini	VI server flags (server.tcp.serviceName, WebServer access) show how remote control is enabled for the modern UI to mimic the old flow.	strings/LC103_Final_Cal_LC103_Final_Cal.ini.strings.txt:1	[LC103 Final Cal] server.app.propertiesEnabled=True
Config	LC103 Final Cal/LC103 configData.nce	Binary token list (dTime, X1279, etc.) stores automations/metadata the legacy app reads at startup.	strings/LC103_Final_Cal_LC103_configData.nce.strings.txt:3	dTime
Data	LC103 fixes.xlsx	Workbook structure entries indicate operator guidance or fixes exported from the legacy suite.	strings/LC103_fixes.xlsx.strings.txt:1	[Content_Types].xml
Data	LC103 simplified operating instructions (pull chart).pdf	PDF metadata shows the official pull chart remains part of the dependency corpus for operator commands.	strings/LC103_simplified_operating_instructions_pull_chart.pdf.strings.txt:1	%PDF-1.3
Data	Old Cal Files/P071_03.CAL	Old cal table restates capacitor points, giving another source to confirm legacy values.	strings/Old_Cal_Files_P071_03.CAL.strings.txt:1	201.1E-12
Data	Old Cal Files/P072_10.CAL	Historic range descriptions reiterate the seven-range pairing strategy for calibration.	strings/Old_Cal_Files_P072_10.CAL.strings.txt:15	There are 7 cal ranges.  The values listed above are grouped in two's; the first one
Data	P071_03.CAL	Root-level calibration table mirrors the Final Cal set, ensuring data redundancy when reconstructing behavior.	strings/P071_03.CAL.strings.txt:1	201.1E-12
Data	P072_1.cal	Pairing note reiterates how the wizard walks through the seven calibration ranges.	strings/P072_1.cal.strings.txt:15	There are 7 cal ranges.  The values listed above are grouped in two's; the first one
Library	SERPDRV	Serp driver warnings (SerpWatchDogFlag) show the watchdog flag the legacy flow monitors.	strings/SERPDRV.strings.txt:48	SerpWatchDogFlag
Data	Source/LV3_1/103f_cal.llb	VI strings show NI-DAQ table allocations (DAQTABLS AI/AO) that embody the calibration runtime.	strings/Source_LV3_1_103f_cal.llb.strings.txt:16	DAQTABLS: AI_TASK ALLOCATE, device %d, group %d...
Data	Source/LV3_1/MAINB_II.LLB	Setup procedure text (Mainboard tester #74C216-1) outlines the hardware prep sequence.	strings/Source_LV3_1_MAINB_II.LLB.strings.txt:24577	1) Plug in and turn on LC103 Mainboard test box.
Data	Source/LV3_1/PWRTEST.LLB	Front-panel strings (Continue Button, Ready) show the power-test VI gating user interaction.	strings/Source_LV3_1_PWRTEST.LLB.strings.txt:26	Continue Button
Data	Source/LV5_1/103f_cal.llb	Serial Port VIs (Reset/Buffer Size/Init/Write/Read) appear, so this version controls RS-232 gating.	strings/Source_LV5_1_103f_cal.llb.strings.txt:35	Serial Port Reset.vi
