score	source_path	line	text
3.893	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1249	Select measurement function.
3.893	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV5_1_103f_cal.llb.strings.txt	14064	Select measurement function.  
3.886	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/vi_names_all.txt	19361	Instr Parse Instrument Descriptor.vifsets.vi
3.886	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	30873	Instr Initialize Interface.vipter.vifsets.vi
3.885	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt	103913	DownloadInterpreter::DownloadInterpreter(DownloadInterpreter *this,DownloadInterpreter *param_1)
3.885	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	13269	SaveOptionssavosavo Save options. Currently ignored.
3.879	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	155	LocalVIServer: posting kLVSOpen%s
3.878	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	11498	LoadExternalFunction: can't find function
3.877	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	958	TCP ncAlreadyConnectedErr: The connection is already established.
3.873	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1064	CCCPlease choose the file containing the capacitance calibration data.W
3.873	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1260	CCCPlease choose the file containing the capacitance calibration data.V
3.873	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1368	CCCPlease choose the file containing the capacitance calibration data.O
3.872	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	165	SmartHeap error handler recursively re-entered.
3.872	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1103	Instr Initialize Interface.vipter.vifsets.vilG$
3.872	/Users/<user>/LC103/software_decompile_2026-02-24/labview_extract/LC103_FINAL_CAL_PROMPT_REBUILD.md	253	Recovered inductance nominal value set:
3.870	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	475	CPlease choose the file containing the capacitance calibration data.O
3.870	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1058	CPlease choose the file containing the capacitance calibration data.V
3.868	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1239	Follow on-screen instructions closely.
3.868	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV3_1_PWRTEST.LLB.strings.txt	22434	            Follow on-screen instructions closely.
3.868	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1047	BPlease choose the file containing the inductance calibration data.V
3.866	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	476	BPlease choose the file containing the inductance calibration data.
3.864	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	647	Open Serial Driver.vii
3.864	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1113	Open Serial Driver.vil
3.864	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1351	Open Serial Driver.vir
3.864	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1352	Open Serial Driver.vit
3.864	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	1402	Open Serial Driver.vid
3.864	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	35404	Digital Group Write.vi
3.862	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV5_1_103f_cal.llb.strings.txt	18660	Write Characters To File.viSE
3.858	/Users/<user>/LC103/software_decompile_2026-02-24/exhaustive/EXHAUSTIVE_RECOVERY_REPORT.md	6	Recover every practically recoverable technical artifact from the legacy LC103 Windows/LabVIEW calibration package and reconstruct a modern cross-platform replacement workflow.
3.858	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	292	Configuration token not found.,Error occurred parsing configuration string.(Configuration allocation error occurred.$External code format error occurred.$External code offset error occurred.
3.857	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17780	Open Serial Driver.vi
3.857	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	20338	Serial Port Reset.viReset.vi
3.857	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	35398	Digital Port Write.vi
3.857	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	35402	Digital Group Read.vi
3.857	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	41362	Serial Port Write.viW
3.857	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	42917	Serial Port Read.viMD
3.857	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	68070	Write Characters To File.viM
3.857	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	68137	Write Characters To File.viO
3.857	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	78208	Write Characters To File.viH
3.857	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	78217	Write Characters To File.vis
3.857	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV5_1_103f_cal.llb.strings.txt	49942	Serial Port Write.vib
3.857	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV6_103f_cal.llb.strings.txt	18964	Write Characters To File.vil
3.857	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV6_103f_cal.llb.strings.txt	43318	Serial Port Read.viHD
3.857	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Source_LV6_103f_cal.llb.strings.txt	44893	Open Serial Driver.vi 
3.854	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	67622	DDE DMLERR_REENTRANCY:  An application instance with a synchronous transaction already in progress attempted to initiate another synchronous transaction, or the DdeEnableCallback function was called from within a DDEML call function.
3.853	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	182	CThis button closes the Preferences dialog and discards any changes.
3.852	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompts_cleaned.txt	305	Cannot load connector pane.
3.852	/Users/<user>/LC103/software_decompile_2026-02-24/strings/Final_Cal_103FIN.EXE.strings.txt	17848	Write Characters To File.vi
