category	count	text	source
cal_file_selection	41	calCPlease choose the file containing the capacitance calibration data.PTH0	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54723
cal_file_selection	29	calBPlease choose the file containing the inductance calibration data.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:114464
cal_file_selection	14	BPlease choose the file containing the inductance calibration data.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54711
cal_file_selection	14	BPlease choose the file containing the inductance calibration data.V	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:114316
cal_file_selection	13	BPlease choose the file containing the inductance calibration data.W	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:118862
cal_file_selection	13	CCCPlease choose the file containing the capacitance calibration data.W	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:118857
cal_file_selection	9	CPlease choose the file containing the capacitance calibration data.O	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54708
cal_file_selection	9	CPlease choose the file containing the capacitance calibration data.V	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:115917
cal_file_selection	9	calBPlease choose the file containing the inductance calibration data.PTH0	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:412981
cal_file_selection	9	calBPlease choose the file containing the inductance calibration data.gencode.cGenDispatchEntry	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54724
cal_file_selection	9	calCPlease choose the file containing the capacitance calibration data.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:116077
cal_file_selection	5	CCCPlease choose the file containing the capacitance calibration data.O	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:404953
cal_file_selection	5	CCCPlease choose the file containing the capacitance calibration data.V	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:363277
cal_file_selection	4	calBPlease choose the file containing the inductance calibration data.d:\automated\lv51\lvsource\gencode.cGenRangeCheck	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:404920
cal_file_selection	1	272863:30fbe0 BPlease choose the file containing the inductance calibration data.V	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:208
cal_file_selection	1	273011:310696 *.calBPlease choose the file containing the inductance calibration data.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:210
cal_file_selection	1	274468:330ba2 CPlease choose the file containing the capacitance calibration data.V	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:212
cal_file_selection	1	274628:3317bf *.calCPlease choose the file containing the capacitance calibration data.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:214
cal_file_selection	1	288394:4119e0 CCCPlease choose the file containing the capacitance calibration data.W	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:354
cal_file_selection	1	288399:411aaa ++BPlease choose the file containing the inductance calibration data.W	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:355
fixture_sequence	212	Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:82518
fixture_sequence	151	Inductance Decade Box (H Terminal)=Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:82672
fixture_sequence	137	Inductance Decade Box (L Terminal)BNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:82682
fixture_sequence	41	IND=Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:82681
fixture_sequence	29	Now connect the red UUT to the H Terminal of the decade box and set the box to 0.022uF(.0219).	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:99167
fixture_sequence	11	Inductance Decade Box (L Terminal)=Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:389867
fixture_sequence	11	Press 'Enter' when ready.cShort the UUT leads to the Capacitance Decade box(LTerminal).	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:375113
fixture_sequence	11	of rings specified on the cal box.-Switch the cal box to	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:94475
fixture_sequence	9	Capacitance Decade Box (Low Terminal).GNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:388680
fixture_sequence	9	Inductance Decade Box (H Terminal)BNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:389871
fixture_sequence	9	NFC-Switch the cal box to	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:380042
fixture_sequence	1	277905:36ba9b Now connect the red UUT to the H Terminal of the decade box and set the box to 0.022uF(.0219).	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:215
fixture_sequence	1	278034:36c643 Now connect the red UUT to the H Terminal of the decade box and set the box to 0.022uF(.0219).	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:219
fixture_sequence	1	290288:42edaf ===Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:379
fixture_sequence	1	290297:42ef11 ===Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:381
fixture_sequence	1	290369:42f7fa ===Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:387
fixture_sequence	1	290376:42f912 ===Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:389
fixture_sequence	1	290383:42fa2a ===Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:391
fixture_sequence	1	290390:42fb42 ===Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:393
fixture_sequence	1	290442:42fef2 Inductance Decade Box (H Terminal)=Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:396
fixture_sequence	1	290449:42fff9 Inductance Decade Box (H Terminal)=Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:400
fixture_sequence	1	290451:43005a IND=Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:401
fixture_sequence	1	290452:430079 Inductance Decade Box (L Terminal)BNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:402
fixture_sequence	1	290453:4300bc Inductance Decade Box (H Terminal)=Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:403
fixture_sequence	1	290454:4300fa Inductance Decade Box (L Terminal)BNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:404
fixture_sequence	1	290455:43013d Inductance Decade Box (H Terminal)=Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:405
fixture_sequence	1	290456:43017b Inductance Decade Box (L Terminal)BNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:406
fixture_sequence	1	290457:4301be Inductance Decade Box (H Terminal)=Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:407
fixture_sequence	1	290458:4301fc Inductance Decade Box (L Terminal)BNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:408
fixture_sequence	1	291243:440e42 ===Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:412
fixture_sequence	1	291247:440edf ===Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:413
fixture_sequence	1	291253:440fd8 ===Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:415
fixture_sequence	1	291259:4410d1 ===Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:417
fixture_sequence	1	291265:4411ca ===Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:419
fixture_sequence	1	291350:441a4b Inductance Decade Box (H Terminal)=Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:424
fixture_sequence	1	291352:441aac IND=Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/wizard_prompt_candidates_narrow.txt:425
