count	action	text	source
212	short	Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:82518
193	press	Press 'Enter' when ready.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:90552
190	select	file path is the path name of the file. If file path is empty (default value) or is Not A Path, the VI displays a File dialog box from which you can select a file. Error 43 occurs if the user cancels the dialog.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54000
169	connect	Most applications need only connect wires to the controls and indicators displayed in bold. Connections to other controls and indicators are useful only if specifically needed.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:103420
153	connect	BBBNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:82520
151	short	Inductance Decade Box (H Terminal)=Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:82672
137	connect	Inductance Decade Box (L Terminal)BNow connect the red lead to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:82682
136	open	refnum is the reference number of the open file.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54495
91	open	refnum is the reference number of the open file. The value is Not A Refnum if the file cannot be opened.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54013
85	connect	For most applications, you only need to connect wires to the controls and indicators displayed in bold.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:70723
85	connect	VFor most applications, you only need to connect wires to the controls and indicators displayed in bold.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:69911
85	connect	ZFor most applications, you only need to connect wires to the controls and indicators displayed in bold.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:70295
83	set	GPIB error is valid only if bit 15 of status is set.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:57191
83	set	status is a Boolean array in which each bit describes a state of the GPIB Controller. If an error occurs, the GPIB VIs set bit 15. GPIB error is valid only if bit 15 of status is set.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:57172
81	set	source. In case of an error, most VIs that use the error in and error out clusters set source to the name of the VI or function that produced the error.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:101603
72	short	local_18 = (short *)CONCAT22(local_18._2_2_,sVar1);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:273267
71	select	Measure volts, amps, or ohms. Select one of 6 functions. Select range or use auto range. Select trigger mode. Slow reading rate is used for accuracy. version a.0	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:233844
67	open	new file path is the path of the file opened. You can use this output to determine the path of a file that you open using dialog. new file path returns Not A Path if the user selects Cancel from the dialog box.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:99475
66	short	while ((int)local_14 < (int)(short)local_34);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:353528
55	set	advisory dialog? Set TRUE (default) if you want a dialog if function=0 and the file does not exist, or if function=2 or 3 and the file exists.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52996
53	power	Power Board test Version	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:343571
51	open	LabVIEW: Device unit error.NLabVIEW: Can't open device.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102496
48	short	undefined2 *)(iVar9 + (short)iVar19 * 2) = uVar7;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:338031
48	short	while (iVar11 < (short)local_34);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:353442
46	open	0 (open) opens an existing file. Error 7 occurs if the file cannot be found.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54002
46	open	1 (open or create) opens an existing file or creates a new file if one does not exist.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54003
41	short	IND=Short the UUT leads to the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:82681
41	choose	calCPlease choose the file containing the capacitance calibration data.PTH0	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54723
41	open	GPIB EARG: Invalid argument or arguments.bLabVIEW: File already open.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102468
41	open	GPIB EOIP: New I/O attempted with old I/O in progress.9LabVIEW: Too many files open.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102474
