part_or_model	count	example_source
RD8840A	1417	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52652
LC103	973	/Users/<user>/LC103/2026-02-24_full_decompile_run2/DECOMPILE_SUMMARY.md:1
NIBS100	520	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:94396
I32	435	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:48418
U32	261	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:48422
I16	234	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:48417
TM80	207	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:597551
U16	201	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:48421
BEEP30	147	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:354
A24	129	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:58735
A32	129	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:58735
A16	97	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:65775
SUB84	78	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:113661
SUB42	70	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:108499
DIO96	63	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:104187
DSP32C	60	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102406
R1005	58	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict.txt:61
R1144	57	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict.txt:59
D84	51	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:56746
X440	51	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:66462
TP1006	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:289
ZEXT24	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_LVDEVICE_DLL_decomp_full.txt:717
P84	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:58493
L42	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:68219
TP1020	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:290
SC2040	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102422
L07	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:61713
T08	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:61716
T07	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:63724
F04	36	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:56867
P41	36	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:63663
P75	33	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:57453
T433	33	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:57698
L440	33	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:57700
MDN44	33	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:58365
B01	33	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:63656
B047	33	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:63731
C000	33	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:65791
C000MD	33	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:65802
V841	33	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:66378
X42	33	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:66404
G43	33	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:66437
