token	count	example_source
conditional_jump	301908	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_calls_full.csv:4
int	172286	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:12
error	161597	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:110
if	159397	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:118
undefined4	147206	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:57
unconditional_call	126195	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_calls_full.csv:2
param_1	122006	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:37
short	101655	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:37
return	99605	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:28
param_2	94798	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:851
the	84577	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:567
unconditional_jump	73809	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_calls_full.csv:8
local_8	70877	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:107
in_ecx	68160	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:3855
param_3	67930	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:1205
code	66695	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:40
uint	54293	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:37
in	53744	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict.txt:177
fc	52083	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_calls_full.csv:104
param_4	48735	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:1205
undefined	47391	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_functions_full.csv:2
