byte	count	percent
0x00	5858	4.469299
0x01	1868	1.425171
0x02	1924	1.467896
0x03	931	0.710297
0x04	1342	1.023865
0x05	520	0.396729
0x06	615	0.469208
0x07	473	0.360870
0x08	555	0.423431
0x09	329	0.251007
0x0A	369	0.281525
0x0B	188	0.143433
0x0C	209	0.159454
0x0D	351	0.267792
0x0E	122	0.093079
0x0F	466	0.355530
0x10	235	0.179291
0x11	122	0.093079
0x12	5357	4.087067
0x13	255	0.194550
0x14	184	0.140381
0x15	125	0.095367
0x16	61	0.046539
0x17	123	0.093842
0x18	235	0.179291
0x19	160	0.122070
0x1A	131	0.099945
0x1B	93	0.070953
0x1C	105	0.080109
0x1D	160	0.122070
0x1E	73	0.055695
0x1F	548	0.418091
0x20	1959	1.494598
0x21	103	0.078583
0x22	550	0.419617
0x23	107	0.081635
0x24	349	0.266266
0x25	195	0.148773
0x26	39	0.029755
0x27	77	0.058746
0x28	128	0.097656
0x29	88	0.067139
0x2A	140	0.106812
0x2B	87	0.066376
0x2C	105	0.080109
0x2D	160	0.122070
0x2E	217	0.165558
0x2F	123	0.093842
0x30	616	0.469971
0x31	228	0.173950
0x32	103	0.078583
0x33	463	0.353241
0x34	178	0.135803
0x35	188	0.143433
0x36	139	0.106049
0x37	101	0.077057
0x38	445	0.339508
0x39	387	0.295258
0x3A	284	0.216675
0x3B	400	0.305176
0x3C	1017	0.775909
0x3D	413	0.315094
0x3E	156	0.119019
0x3F	355	0.270844
0x40	825	0.629425
0x41	765	0.583649
0x42	488	0.372314
0x43	392	0.299072
0x44	1473	1.123810
0x45	403	0.307465
0x46	204	0.155640
0x47	514	0.392151
0x48	327	0.249481
0x49	231	0.176239
0x4A	634	0.483704
0x4B	118	0.090027
0x4C	300	0.228882
0x4D	153	0.116730
0x4E	425	0.324249
0x4F	359	0.273895
0x50	828	0.631714
0x51	128	0.097656
0x52	374	0.285339
0x53	225	0.171661
0x54	631	0.481415
0x55	112	0.085449
0x56	502	0.382996
0x57	109	0.083160
0x58	70	0.053406
0x59	94	0.071716
0x5A	65	0.049591
0x5B	43	0.032806
0x5C	227	0.173187
0x5D	48	0.036621
0x5E	39	0.029755
0x5F	256	0.195312
0x60	865	0.659943
0x61	159	0.121307
0x62	60	0.045776
0x63	74	0.056458
0x64	1152	0.878906
0x65	86	0.065613
0x66	159	0.121307
0x67	103	0.078583
0x68	85	0.064850
0x69	149	0.113678
0x6A	61	0.046539
0x6B	281	0.214386
0x6C	154	0.117493
0x6D	136	0.103760
0x6E	168	0.128174
0x6F	170	0.129700
0x70	763	0.582123
0x71	50	0.038147
0x72	67	0.051117
0x73	104	0.079346
0x74	1522	1.161194
0x75	280	0.213623
0x76	34	0.025940
0x77	160	0.122070
0x78	612	0.466919
0x79	1244	0.949097
0x7A	1280	0.976562
0x7B	1448	1.104736
0x7C	1023	0.780487
0x7D	1185	0.904083
0x7E	1158	0.883484
0x7F	1419	1.082611
0x80	3336	2.545166
0x81	631	0.481415
0x82	523	0.399017
0x83	450	0.343323
0x84	95	0.072479
0x85	94	0.071716
0x86	520	0.396729
0x87	106	0.080872
0x88	136	0.103760
0x89	238	0.181580
