call_site	mnemonic	target	ops
0x00045	lcall	0x040AB	0x40ab
0x0004C	lcall	0x038BC	0x38bc
0x0004F	lcall	0x005FE	0x05fe
0x00054	lcall	0x01F64	0x1f64
0x0005E	lcall	0x01BF0	0x1bf0
0x00061	lcall	0x01F64	0x1f64
0x00064	lcall	0x038C1	0x38c1
0x00067	lcall	0x01F64	0x1f64
0x00077	lcall	0x038C6	0x38c6
0x00080	lcall	0x038CB	0x38cb
0x00085	lcall	0x038C6	0x38c6
0x0008E	lcall	0x038CB	0x38cb
0x000A1	lcall	0x038D0	0x38d0
0x000B3	lcall	0x04682	0x4682
0x000BD	lcall	0x038D5	0x38d5
0x000C4	lcall	0x038C6	0x38c6
0x000CD	lcall	0x038CB	0x38cb
0x000D2	lcall	0x038C6	0x38c6
0x000DB	lcall	0x038CB	0x38cb
0x000E2	lcall	0x01F7A	0x1f7a
0x000E9	lcall	0x01F97	0x1f97
0x000F0	lcall	0x01F7A	0x1f7a
0x000F7	lcall	0x01F97	0x1f97
0x000FE	lcall	0x01F7A	0x1f7a
0x00105	lcall	0x01F97	0x1f97
0x0010A	lcall	0x038C6	0x38c6
0x00113	lcall	0x038CB	0x38cb
0x00118	lcall	0x038C6	0x38c6
0x00121	lcall	0x038CB	0x38cb
0x00133	lcall	0x01F97	0x1f97
0x00138	lcall	0x038C6	0x38c6
0x00141	lcall	0x038CB	0x38cb
0x00146	lcall	0x038C6	0x38c6
0x0014F	lcall	0x038CB	0x38cb
0x00154	lcall	0x038C6	0x38c6
0x0015D	lcall	0x038CB	0x38cb
0x00162	lcall	0x038C6	0x38c6
0x0016B	lcall	0x038CB	0x38cb
0x0016E	lcall	0x038DA	0x38da
0x0019E	lcall	0x01BF0	0x1bf0
0x001A6	lcall	0x04456	0x4456
0x001B0	lcall	0x04456	0x4456
0x001B7	lcall	0x038DF	0x38df
0x001C0	lcall	0x038E4	0x38e4
0x001C9	lcall	0x038E4	0x38e4
0x001D2	lcall	0x038E4	0x38e4
0x001DB	lcall	0x038E4	0x38e4
0x001FA	lcall	0x038E9	0x38e9
0x00212	lcall	0x038E9	0x38e9
0x00217	lcall	0x01C94	0x1c94
0x0021F	lcall	0x038C6	0x38c6
