address	set_dptr	reads	writes	total
0x8A9E	121	12	129	262
0x8B3C	98	46	64	208
0x8A7C	86	70	17	173
0x8A77	92	66	14	172
0x8A97	64	66	9	139
0x8A4A	59	50	15	124
0x8AA0	38	39	42	119
0x8A7D	29	69	17	115
0x8A86	93	19	3	115
0x8AA1	37	38	40	115
0x8B3D	1	44	64	109
0x8A6D	55	43	5	103
0x8AD2	46	28	21	95
0x8A7E	16	56	21	93
0x8A6A	40	42	9	91
0x8B3E	12	8	68	88
0x8A8A	32	48	7	87
0x8A78	13	63	10	86
0x8A89	34	41	8	83
0x8B3B	28	48	5	81
0x8ACA	35	36	9	80
0x8A47	31	22	24	77
0x8A42	39	12	25	76
0x8A98	9	62	5	76
0x8A46	33	19	22	74
0x8ACC	46	24	4	74
0x8A4D	10	53	10	73
0x8A79	4	61	5	70
0x8A7A	6	61	1	68
0x8B39	33	26	7	66
0x8A7B	26	22	15	63
0x8A4C	11	43	8	62
0x8A52	28	18	16	62
0x8A6E	12	42	8	62
0x8A4B	7	44	10	61
0x8A53	13	28	18	59
0x8A6F	7	43	8	58
0x8AD3	8	28	20	56
0x8ACB	12	34	7	53
0x8A44	22	14	16	52
0x8A4F	18	25	9	52
0x8A70	5	43	0	48
0x8A7F	7	27	14	48
0x8AC5	24	16	8	48
0x8A45	14	18	15	47
0x8A87	13	25	9	47
0x8AD0	23	17	6	46
0x8A43	13	17	13	43
0x8A54	21	11	11	43
0x8A56	24	12	7	43
0x8A88	14	24	5	43
0x8A66	18	16	8	42
0x8AD4	14	10	18	42
0x8AD6	18	12	12	42
0x8AC7	12	20	8	40
0x8A9D	17	7	15	39
0x8AB7	30	9	0	39
0x8AC8	10	20	8	38
0x8A5A	18	11	8	37
0x8A59	9	17	10	36
0x8A6C	14	17	5	36
0x8AD7	12	12	12	36
0x8B3A	3	26	7	36
0x8A85	25	9	1	35
0x8A67	15	13	6	34
0x8AC9	6	18	10	34
0x8AD5	6	10	18	34
0x8B3F	6	8	20	34
0x8A90	12	17	4	33
0x8ACE	6	26	0	32
0x8AD8	16	6	10	32
0x8A8E	19	10	2	31
0x8A92	17	10	3	30
0x8B40	6	6	18	30
0x8AD1	5	17	7	29
0x8A64	8	14	6	28
0x8ABB	18	8	2	28
0x8AC6	4	16	8	28
0x8A48	9	10	8	27
0x8A55	6	9	12	27
0x8A6B	14	9	4	27
0x8A5E	12	8	6	26
0x8A63	11	11	4	26
0x8ACF	0	26	0	26
0x8A49	6	11	8	25
0x8A50	10	13	2	25
0x8A61	6	10	8	24
0x8A62	9	7	8	24
0x8A94	9	12	3	24
0x8ABE	8	16	0	24
0x8ADE	11	3	10	24
0x8A4E	14	7	2	23
0x8A65	3	14	6	23
0x8A8B	2	18	3	23
0x8A8C	6	15	2	23
0x8B41	7	8	8	23
0x8AAB	10	3	9	22
0x8AD9	6	6	10	22
0x8A60	6	8	7	21
0x8A68	7	8	5	20
0x8AA7	9	7	4	20
0x8AC1	16	4	0	20
0x8ACD	0	20	0	20
0x8AE2	10	6	4	20
0x8A5F	5	8	6	19
0x8A71	5	10	4	19
0x8A9F	6	5	8	19
0x8A58	2	12	4	18
0x8A73	9	8	1	18
0x8A96	7	5	6	18
0x8A5B	3	9	5	17
0x8A76	6	9	2	17
0x8A8D	0	15	2	17
0x8A91	2	12	3	17
0x8A5D	3	8	5	16
0x8ADA	0	6	10	16
0x89F7	8	0	7	15
0x8A51	0	13	2	15
0x8A57	0	11	4	15
0x8A95	0	12	3	15
0x8AAE	5	3	7	15
0x8A69	3	7	4	14
0x8A99	7	4	3	14
0x8ADC	6	4	4	14
0x8ADF	0	4	10	14
0x8A5C	3	7	3	13
0x8A93	0	10	3	13
0x8B42	3	5	5	13
0x8A2A	6	4	2	12
0x8A81	3	4	5	12
0x8A8F	0	10	2	12
0x8ABC	0	8	4	12
0x8ABD	4	8	0	12
0x8B2A	6	5	1	12
0x8A74	5	5	1	11
0x8A23	4	2	4	10
0x8A2B	4	4	2	10
0x8A9A	1	6	3	10
0x8AAA	2	5	3	10
0x8AAD	4	3	3	10
0x8B2D	5	3	2	10
0x8A72	0	9	0	9
0x8A80	5	3	1	9
0x8A9C	3	5	1	9
0x8AA9	3	4	2	9
0x8AB8	0	9	0	9
0x8AB9	0	9	0	9
0x8ABA	0	9	0	9
0x8AE3	1	5	3	9
0x8AA8	2	4	2	8
0x8ADD	0	4	4	8
