offset_hex	offset_dec	size	entropy_bits	max_byte_ratio
0x00000	0	256	5.271878	0.156250
0x00100	256	256	5.363099	0.093750
0x00200	512	256	5.776193	0.074219
0x00300	768	256	5.769434	0.066406
0x00400	1024	256	5.448176	0.078125
0x00500	1280	256	5.248637	0.101562
0x00600	1536	256	4.430009	0.132812
0x00700	1792	256	4.556161	0.175781
0x00800	2048	256	4.520841	0.164062
0x00900	2304	256	5.192910	0.089844
0x00A00	2560	256	4.987253	0.097656
0x00B00	2816	256	4.957566	0.101562
0x00C00	3072	256	4.978741	0.121094
0x00D00	3328	256	5.526337	0.062500
0x00E00	3584	256	5.538531	0.062500
0x00F00	3840	256	5.253315	0.062500
0x01000	4096	256	5.017531	0.128906
0x01100	4352	256	5.288365	0.121094
0x01200	4608	256	5.450654	0.105469
0x01300	4864	256	5.539677	0.089844
0x01400	5120	256	5.152051	0.093750
0x01500	5376	256	5.049302	0.125000
0x01600	5632	256	4.729604	0.132812
0x01700	5888	256	5.596362	0.089844
0x01800	6144	256	5.505566	0.125000
0x01900	6400	256	5.991697	0.062500
0x01A00	6656	256	5.339207	0.093750
0x01B00	6912	256	5.291377	0.109375
0x01C00	7168	256	5.308986	0.113281
0x01D00	7424	256	5.093422	0.132812
0x01E00	7680	256	5.104058	0.109375
0x01F00	7936	256	5.423404	0.089844
0x02000	8192	256	5.693492	0.078125
0x02100	8448	256	4.974757	0.277344
0x02200	8704	256	3.634933	0.332031
0x02300	8960	256	3.347933	0.460938
0x02400	9216	256	3.949213	0.453125
0x02500	9472	256	5.339993	0.101562
0x02600	9728	256	5.717615	0.066406
0x02700	9984	256	5.468559	0.089844
0x02800	10240	256	5.595083	0.074219
0x02900	10496	256	5.345324	0.113281
0x02A00	10752	256	5.123923	0.132812
0x02B00	11008	256	4.872205	0.148438
0x02C00	11264	256	5.528686	0.082031
0x02D00	11520	256	5.347658	0.207031
0x02E00	11776	256	4.174293	0.296875
0x02F00	12032	256	3.776125	0.335938
0x03000	12288	256	4.695058	0.136719
0x03100	12544	256	4.913010	0.191406
0x03200	12800	256	4.012455	0.187500
0x03300	13056	256	2.880736	0.386719
0x03400	13312	256	3.906829	0.195312
0x03500	13568	256	4.469456	0.289062
0x03600	13824	256	5.350252	0.164062
0x03700	14080	256	3.491095	0.421875
0x03800	14336	256	5.738137	0.085938
0x03900	14592	256	5.807340	0.093750
0x03A00	14848	256	6.265272	0.035156
0x03B00	15104	256	5.826551	0.101562
0x03C00	15360	256	6.338368	0.039062
