jump_site	mnemonic	target	ops
0x00000	ljmp	0x037F9	0x37f9
0x0000B	ljmp	0x024DD	0x24dd
0x00013	ljmp	0x02619	0x2619
0x00023	ljmp	0x026DE	0x26de
0x0005B	jb	0x00057	acc.2, 0x0057                        ; [0x100001e0:1]=0
0x000A5	jz	0x00091	0x0091
0x000B7	jnz	0x000C2	0x00c2
0x000C0	sjmp	0x00124	0x0124
0x00171	jnb	0x00021	0x21.0, 0x0177                       ; [0x10000021:1]=0
0x00174	ljmp	0x005C0	0x05c0
0x00190	jnz	0x00196	0x0196
0x00196	jnz	0x001A1	0x01a1
0x00198	jb	0x00024	0x24.2, 0x01a1                       ; [0x10000024:1]=0
0x0019B	jb	0x00021	0x21.0, 0x01a1                       ; [0x10000021:1]=0
0x001E2	jb	0x001E9	acc.1, 0x01e9                        ; [0x100001e0:1]=0
0x001E7	sjmp	0x001EB	0x01eb
0x001F0	jz	0x0020A	0x020a
0x001F2	jb	0x00021	0x21.0, 0x020a                       ; [0x10000021:1]=0
0x001F5	jnb	0x00023	0x23.6, 0x01ff                       ; [0x10000023:1]=0
0x00208	sjmp	0x00257	0x0257
0x0020A	jb	0x00021	0x21.0, 0x0257                       ; [0x10000021:1]=0
0x0020D	jb	0x00023	0x23.6, 0x0217                       ; [0x10000023:1]=0
0x0021B	jz	0x00257	0x0257
0x00253	jc	0x00239	0x0239
0x0025E	jnz	0x00264	0x0264
0x00264	jnz	0x0027B	0x027b
0x0026A	jnz	0x0027B	0x027b
0x0026C	jb	0x00023	0x23.7, 0x027b                       ; [0x10000023:1]=0
0x0026F	jb	0x00021	0x21.0, 0x027b                       ; [0x10000021:1]=0
0x00282	jnz	0x00288	0x0288
0x00288	jnz	0x00295	0x0295
0x0028E	jnz	0x00295	0x0295
0x00290	jb	0x00021	0x21.0, 0x0295                       ; [0x10000021:1]=0
0x00299	jnz	0x0029F	0x029f
0x0029F	jnz	0x002A4	0x02a4
0x002A1	ljmp	0x00355	0x0355
0x002A4	jnb	0x00021	0x21.0, 0x02aa                       ; [0x10000021:1]=0
0x002A7	ljmp	0x00355	0x0355
0x002AE	jz	0x00308	0x0308
0x002B0	jb	0x00021	0x21.0, 0x0308                       ; [0x10000021:1]=0
