address	set_dptr	reads	writes	total
0x8A9E	121	12	129	262
0x8048	106	103	0	209
0x8B3C	98	46	64	208
0x8108	87	40	47	174
0x8A7C	86	70	17	173
0x8A77	92	66	14	172
0x805C	51	47	52	150
0x805F	61	27	62	150
0x804E	66	10	70	146
0x804F	53	41	49	143
0x8035	51	40	50	141
0x8A97	64	66	9	139
0x804C	50	41	47	138
0x7E00	64	0	66	130
0x8A4A	59	50	15	124
0x8AA0	38	39	42	119
0x5F00	59	0	59	118
0x8A7D	29	69	17	115
0x8A86	93	19	3	115
0x8AA1	37	38	40	115
0x8054	38	34	41	113
0x8B3D	1	44	64	109
0x8049	0	103	0	103
0x804A	0	103	0	103
0x804B	0	103	0	103
0x8A6D	55	43	5	103
0x7E02	48	0	48	96
0x8AD2	46	28	21	95
0x8A7E	16	56	21	93
0x8A6A	40	42	9	91
0x7B00	45	0	45	90
0x8B3E	12	8	68	88
0x8109	0	40	47	87
0x8A8A	32	48	7	87
0x8050	32	20	34	86
0x8A78	13	63	10	86
0x804D	32	20	32	84
0x8A89	34	41	8	83
0x8B3B	28	48	5	81
0x7D01	40	0	40	80
0x81BC	56	24	0	80
0x8ACA	35	36	9	80
0x7D02	39	0	39	78
0x8A47	31	22	24	77
0x8A42	39	12	25	76
0x8A98	9	62	5	76
0x8A46	33	19	22	74
0x8ACC	46	24	4	74
0x8A4D	10	53	10	73
0x8038	37	34	0	71
0x8A79	4	61	5	70
0x8A7A	6	61	1	68
0x8036	33	17	16	66
0x8B39	33	26	7	66
0x8061	22	18	25	65
0x8A7B	26	22	15	63
0x6F02	31	16	15	62
0x8A4C	11	43	8	62
0x8A52	28	18	16	62
0x8A6E	12	42	8	62
0x8A4B	7	44	10	61
0x7E01	29	0	30	59
0x8A53	13	28	18	59
0x7702	29	7	22	58
0x8A6F	7	43	8	58
0x7B01	28	0	28	56
0x7B02	28	0	28	56
0x8AD3	8	28	20	56
0x8661	27	3	24	54
0x8ACB	12	34	7	53
0x8A44	22	14	16	52
0x8A4F	18	25	9	52
0x8069	18	15	18	51
0x7D00	24	0	24	48
0x8A70	5	43	0	48
0x8A7F	7	27	14	48
0x8AC5	24	16	8	48
0x8A45	14	18	15	47
0x8A87	13	25	9	47
0x8AD0	23	17	6	46
0x8067	15	13	15	43
0x8A43	13	17	13	43
0x8A54	21	11	11	43
0x8A56	24	12	7	43
0x8A88	14	24	5	43
0x80F3	25	17	0	42
0x8A66	18	16	8	42
0x8AD4	14	10	18	42
0x8AD6	18	12	12	42
0x8AC7	12	20	8	40
0x8A9D	17	7	15	39
0x8AB7	30	9	0	39
0x8AC8	10	20	8	38
0x8A5A	18	11	8	37
0x3F80	18	0	18	36
0x8A59	9	17	10	36
0x8A6C	14	17	5	36
0x8AD7	12	12	12	36
0x8B3A	3	26	7	36
0x8037	2	17	16	35
0x8A85	25	9	1	35
0x8039	0	34	0	34
0x803A	0	34	0	34
0x803B	0	34	0	34
0x8059	17	14	3	34
0x8A67	15	13	6	34
0x8AC9	6	18	10	34
0x8AD5	6	10	18	34
0x8B3F	6	8	20	34
0x8A90	12	17	4	33
0x81D9	16	0	16	32
0x8ACE	6	26	0	32
0x8AD8	16	6	10	32
0x8A8E	19	10	2	31
0x8051	15	12	3	30
0x805D	15	12	3	30
0x8A92	17	10	3	30
0x8B40	6	6	18	30
0x8AD1	5	17	7	29
0x8A64	8	14	6	28
0x8ABB	18	8	2	28
0x8AC6	4	16	8	28
