region_start_hex,region_end_hex,bank,class,inst_count,function_starts,ascii_ratio,zero_ratio,notes
0x00000,0x000FF,0,code,137,1,0.328,0.031,fn_starts=1
0x00100,0x001FF,0,code,125,0,0.312,0.043,
0x00200,0x002FF,0,code,130,0,0.301,0.023,
0x00300,0x003FF,0,code,134,0,0.289,0.031,
0x00400,0x004FF,0,code,140,0,0.180,0.004,
0x00500,0x005FF,0,code,146,1,0.203,0.004,fn_starts=1
0x00600,0x006FF,0,code,149,0,0.242,0.109,
0x00700,0x007FF,0,code,131,0,0.305,0.066,
0x00800,0x008FF,0,code,137,0,0.289,0.066,
0x00900,0x009FF,0,code,168,0,0.262,0.004,
0x00A00,0x00AFF,0,code,166,0,0.262,0.020,
0x00B00,0x00BFF,0,code,159,0,0.277,0.023,
0x00C00,0x00CFF,0,code,174,0,0.207,0.008,
0x00D00,0x00DFF,0,code,157,0,0.156,0.020,
0x00E00,0x00EFF,0,code,146,0,0.184,0.008,
0x00F00,0x00FFF,0,code,149,0,0.137,0.000,
0x01000,0x010FF,0,code,183,0,0.109,0.016,
0x01100,0x011FF,0,code,174,0,0.105,0.016,
0x01200,0x012FF,0,code,173,0,0.121,0.016,
0x01300,0x013FF,0,code,148,0,0.234,0.047,
0x01400,0x014FF,0,code,158,0,0.164,0.051,
0x01500,0x015FF,0,code,157,1,0.219,0.012,fn_starts=1
0x01600,0x016FF,0,code,133,1,0.301,0.027,fn_starts=1
0x01700,0x017FF,0,code,129,0,0.387,0.055,
0x01800,0x018FF,0,code,122,1,0.418,0.031,fn_starts=1
0x01900,0x019FF,0,code,156,0,0.258,0.020,
0x01A00,0x01AFF,0,code,153,0,0.203,0.062,
0x01B00,0x01BFF,0,code,172,1,0.137,0.016,fn_starts=1
0x01C00,0x01CFF,0,code,142,1,0.289,0.051,fn_starts=1
0x01D00,0x01DFF,0,code,159,0,0.254,0.016,
0x01E00,0x01EFF,0,code,149,0,0.254,0.043,
0x01F00,0x01FFF,0,code,157,3,0.254,0.059,fn_starts=3
0x02000,0x020FF,0,code,142,0,0.305,0.047,
0x02100,0x021FF,0,ui_string_table,124,0,0.727,0.035,"strings=CALIBRATED,CALIBRATION!"
0x02200,0x022FF,0,ui_string_table,127,0,0.941,0.059,strings=ERROR 4
0x02300,0x023FF,0,code,195,0,0.352,0.461,
0x02400,0x024FF,0,code,185,1,0.207,0.453,fn_starts=1
0x02500,0x025FF,0,code,168,0,0.219,0.055,
0x02600,0x026FF,0,code,139,2,0.238,0.031,fn_starts=2
0x02700,0x027FF,0,code,141,0,0.316,0.008,
0x02800,0x028FF,0,code,146,0,0.352,0.012,
0x02900,0x029FF,0,code,171,0,0.145,0.000,
0x02A00,0x02AFF,0,code,161,0,0.184,0.051,
0x02B00,0x02BFF,0,code,155,1,0.285,0.027,fn_starts=1
0x02C00,0x02CFF,0,code,156,1,0.238,0.062,fn_starts=1
0x02D00,0x02DFF,0,code,140,0,0.625,0.059,
0x02E00,0x02EFF,0,ui_string_table,133,0,0.875,0.125,strings=Error
0x02F00,0x02FFF,0,code,126,0,0.891,0.102,
0x03000,0x030FF,0,command_string_table,145,0,0.859,0.137,"strings=CALON,CALOFF,CALIBRATED,UNIT IS CALIBRATED"
0x03100,0x031FF,0,command_string_table,150,0,0.809,0.191,"strings=BEEP,GAIN,ISRC,CALF"
0x03200,0x032FF,0,command_string_table,143,0,0.902,0.098,"strings=CALF?,CALDATE,CALDATE?,SELECTION ERROR"
0x03300,0x033FF,0,ui_string_table,170,0,0.613,0.387,"strings=ERROR 6,ERROR 7,ERROR 8,ERROR 8"
0x03400,0x034FF,0,code,174,0,0.684,0.195,
0x03500,0x035FF,0,code,170,0,0.660,0.289,
0x03600,0x036FF,0,code,164,0,0.461,0.164,
